episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,512,424,1118.5688668193416,1.0,0.5453901397995818,0,0
2,380,301,817.5436925894601,1.0,0.8343542958017846,0,0
3,310,209,679.6122956643107,1.0,0.8091326286272942,0,0
4,1046,791,2226.812260327772,1.0,0.9942612684421412,0,0
5,1219,876,2453.6151252900277,1.0,0.7565990712956963,0,0
6,2614,1239,5822.4904848006745,1.0,0.9510129013694865,0,0
7,817,26,2204.6018378593076,1.0,0.7485315640558741,0,0
8,792,17,2029.8310767152243,1.0,0.974434756223555,0,0
9,718,4,2093.1589285551654,1.0,1.0,0,0
10,488,8,1260.9874395305487,0.9678721645991093,0.9862253973919579,0,0
11,285,1,853.3214455899863,1.0,1.0,0,0
12,74,1,221.97315506804347,1.0,1.0,0,0
13,745,1,2234.0327791979034,1.0,1.0,0,0
14,413,1,1238.9731550680433,1.0,1.0,0,0
