episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,221,121,390.72730120711816,0.3389960902631683,0.6337175986648368,0,0
2,78,38,119.00882040792013,0.3389960902631683,0.6214928218317993,0,0
3,589,419,970.0046578305388,0.3389960902631683,0.5922868687706453,0,0
4,857,643,1527.4688983372002,0.3389960902631683,0.6239495373792686,0,0
5,147,105,328.528594410489,0.3389960902631683,0.6456578238954124,0,0
6,160,70,213.35575897751662,0.3389960902631683,0.5643635837252273,0,0
