episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,100,62,193.31431520424027,0.4004847618497458,0.7342220512024512,0,0
2,100,56,185.48127463557873,0.4004847618497458,0.7342220512024512,0,0
3,100,67,195.19092758351607,0.4004847618497458,0.6783062130265579,0,0
4,100,54,147.6720039475996,0.4004847618497458,0.553398867319457,0,0
5,100,49,150.42857203705432,0.4004847618497458,0.7490013175752878,0,0
6,100,34,154.11375788717123,0.4004847618497458,0.7872968433313264,0,0
7,16,7,19.499703241832464,0.4004847618497458,0.4090146144570621,0,0
8,84,36,99.61497678209642,0.4004847618497458,0.3526093933868847,0,0
9,100,23,192.8126671149928,0.4004847618497458,0.7342220512024512,0,0
10,100,12,162.85361891120363,0.4004847618497458,0.7342220512024512,0,0
11,100,9,124.5057717958824,0.4004847618497458,0.3547639112479443,0,0
12,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
13,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
