episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,100,58,129.392421394452,0.4004847618497458,0.4246612654524043,0,0
2,100,51,203.75412621126262,0.4004847618497458,0.7342220512024512,0,0
3,100,46,209.62167541626437,0.4004847618497458,0.789239621745832,0,0
4,100,46,211.6269109555899,0.4004847618497458,0.7342220512024512,0,0
5,100,57,154.95067429530894,0.4004847618497458,0.6329999065078624,0,0
6,100,34,203.40266621330488,0.4004847618497458,0.7342220512024512,0,0
7,100,43,200.65803789036607,0.4004847618497458,0.7348069197636579,0,0
8,100,29,175.22682407284213,0.4004847618497458,0.7342220512024512,0,0
9,100,11,140.11039999577721,0.4004847618497458,0.6007271301377961,0,0
10,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
11,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
