episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,500,336,942.6134021789129,0.31024686761083403,0.5617046664328533,0,0
2,500,325,967.5480679539527,0.3332734455940803,0.7046265248661565,0,0
3,1,1,1.537003409625298,0.5130364155024449,0.7665794545132592,0,0
4,499,343,916.2252336117311,0.364052125900598,0.5303672152832006,0,0
5,500,310,845.3037578560157,0.635059932631572,0.4637295893429247,0,0
6,2,1,1.9791044982350088,0.3300646788447302,0.5707594558573478,0,0
7,498,347,857.2211190743087,0.5172465118641271,0.5674534354210982,0,0
8,500,323,978.5911519885038,0.338343227519641,0.5934258471166325,0,0
9,3,2,4.887683557941857,0.4733736325795299,0.6631227784439448,0,0
10,497,406,1022.5736247022377,1.0,0.6325523131104013,0,0
11,72,60,161.30276364318632,1.0,0.5976204450739687,0,0
12,428,337,791.1613610097102,0.6197548510747078,0.6330920362250747,0,0
13,500,347,1046.8237076308783,0.9923980589844179,0.5719352135467762,0,0
14,73,55,160.59808697180588,1.0,0.5876334678714226,0,0
15,427,308,728.0162509882299,0.1773199229876239,0.5357243025025012,0,0
