episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,289,239,610.1307731144026,1.0,0.6110109232924061,0,0
2,713,541,1591.8325912101718,1.0,0.6102299319472937,0,0
3,24,22,71.62374566156407,1.0,1.0,0,0
4,427,346,938.3447539334697,1.0,0.8002551743680794,0,0
5,366,275,778.4401291631303,1.0,0.5390957533621795,0,0
6,532,349,1086.3118275364955,1.0,0.47762703543956997,0,0
7,592,384,1317.4123629805156,1.0,0.7363005048387175,0,0
8,126,59,305.4969942121412,1.0,0.8724343964018004,0,0
9,754,407,1594.331110249371,1.0,0.6634654547344078,0,0
10,279,76,712.5699886671832,1.0,0.8631414060748076,0,0
11,187,38,480.5877205568199,1.0,0.8146459334539985,0,0
12,205,22,535.7484121832294,1.0,1.0,0,0
13,1572,283,3531.4596970547796,1.0,0.7268688383480554,0,0
14,601,30,1568.8592246896285,1.0,0.8728521411430167,0,0
15,123,1,316.3129739805027,1.0,0.8617728899847588,0,0
16,580,15,1538.601442594573,1.0,0.9777456882921349,0,0
17,152,3,398.7388373531242,0.9111214442417767,0.8756996267634364,0,0
18,205,0,615.00000001,1.0,1.0,0,0
19,123,1,359.3599963558924,1.0,0.9986990636401384,0,0
20,912,3,2718.6819309410225,1.0,0.9970807976076215,0,0
21,237,5,673.7883123813831,1.0,1.0,0,0
22,213,2,637.6728844827688,1.0,1.0,0,0
23,188,0,564.00000001,1.0,1.0,0,0
24,188,0,564.00000001,1.0,1.0,0,0
25,201,0,603.00000001,1.0,1.0,0,0
26,211,1,629.7914662359807,1.0,0.9580766535422438,0,0
27,9,0,27.00000001,1.0,1.0,0,0
28,341,1,1022.9958779507878,1.0,1.0,0,0
