episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,276,251,349.420094976675,1.0,0.7701823945450622,0,144
2,75,72,196.769670030289,1.0,0.9703003959628095,0,152
3,564,537,212.60843231000442,1.0,0.6410137245151687,0,641
4,253,253,173.60908484502548,1.0,1.0,0,833
5,68,68,179.2340644437023,1.0,0.9503026330093218,0,840
6,1082,1081,173.32611722501812,1.0,0.6477913237964983,0,1861
7,401,169,1085.2716998547783,1.0,0.9276944942801023,0,1861
8,504,173,1083.0673820589946,1.0,0.8417725697667077,0,1968
9,211,48,628.5685924677506,1.0,1.0,0,1968
10,1187,262,2239.470454432468,1.0,0.7347514427521654,0,2380
11,21,1,62.974011938950994,1.0,1.0,0,2380
12,148,37,442.3236394774317,1.0,0.9934731934743193,0,2380
13,396,64,1184.3963439392592,1.0,0.9751472607411481,0,2380
14,195,18,584.8863358801106,1.0,1.0,0,2380
15,181,18,542.9170381691148,1.0,1.0,0,2380
16,703,89,2094.8960362164435,1.0,1.0,0,2380
