episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,100,64,132.21800409152183,0.4004847618497458,0.6133468182522406,0,0
2,100,49,199.49843172691638,0.4004847618497458,0.7490013175752878,0,0
3,100,57,194.0612227252108,0.4004847618497458,0.6877325925045886,0,0
4,46,29,94.35044196056892,0.4004847618497458,0.7371243771266144,0,0
5,54,26,65.70528272930048,0.4004847618497458,0.333737304289766,0,0
6,100,48,145.72078325687417,0.4004847618497458,0.476051092029757,0,0
7,100,52,128.2579238250043,0.4004847618497458,0.4354213434008886,0,0
8,100,35,121.46655406747516,0.4004847618497458,0.4129388764853381,0,0
9,100,23,174.55397485474276,0.4004847618497458,0.7342220512024512,0,0
10,100,16,188.98886272503657,0.4004847618497458,0.7342220512024512,0,0
11,100,6,124.35079454014233,0.4004847618497458,0.40048476184974574,0,0
12,100,4,138.11996233012388,0.4004847618497458,0.40048476184974574,0,0
13,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
