episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,73,51,175.77827970186704,1.0,0.6946821473531466,0,0
2,1499,1198,3145.352762372228,1.0,0.6583526860105116,0,0
3,51,42,147.52157169655376,1.0,0.9523225150611028,0,0
4,124,88,288.3803974102582,1.0,0.8604438979036748,0,0
5,1911,1378,3933.8969912563434,1.0,0.6311519955143798,0,0
6,325,149,675.479198219611,1.0,0.6743454033808063,0,0
7,922,208,2195.4828938007327,1.0,0.7922860317213064,0,0
8,993,116,2143.90380025744,1.0,0.6376638379996065,0,0
9,1272,53,3105.9679284384233,1.0,1.0,0,0
10,702,10,1956.6385077645887,1.0,0.9540148469807803,0,0
11,747,1,2156.5338638448,1.0,0.9728157990320383,0,0
12,1185,2,3547.677331102571,0.9744777486620375,1.0,0,0
13,196,1,587.0587373790072,1.0,1.0,0,0
