episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,100,54,139.4508559314372,0.4004847618497458,0.6939312061140983,0,0
2,100,57,176.8194239989974,0.4004847618497458,0.7342220512024512,0,0
3,100,56,191.86460638862982,0.4004847618497458,0.7342220512024512,0,0
4,100,46,212.8040487392392,0.4004847618497458,0.7342220512024512,0,0
5,100,41,200.84546708691227,0.4004847618497458,0.787971079160069,0,0
6,100,40,142.8639888850072,0.4004847618497458,0.6184973665425967,0,0
7,100,33,200.75991938497162,0.4004847618497458,0.8445168046820045,0,0
8,100,24,134.6564815230738,0.4004847618497458,0.7342220512024512,0,0
9,46,4,48.94541389176673,0.4004847618497458,0.30632116248746605,0,0
10,54,6,66.59229171192966,0.4004847618497458,0.40048476184974574,0,0
11,100,5,126.24823438401386,0.4004847618497458,0.6003231775600898,0,0
12,46,0,55.26689714526494,0.4004847618497458,0.40048476184974574,0,0
13,54,0,64.87853142965885,0.4004847618497458,0.40048476184974574,0,0
14,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
