episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,817,630,1772.3515986666844,1.0,0.6382621965533927,0,0
2,564,429,1233.4789455648258,1.0,0.552685441046922,0,0
3,924,702,1964.5962769583448,1.0,0.9664171735208628,0,0
4,143,103,345.91483983008095,1.0,0.8153927120634206,0,0
5,161,115,353.1330384185892,1.0,0.88469144419702,0,0
6,1092,687,2409.590679245791,0.9241671589716489,0.741810804206561,0,0
7,504,173,1225.4661869745164,1.0,0.6474123913042933,0,0
8,137,11,410.4473439540137,1.0,1.0,0,0
9,293,52,792.6309739648661,1.0,0.8446697347515031,0,0
10,204,27,562.6286858116223,1.0,0.8074139979036674,0,0
11,904,112,2022.7934482556225,0.9178344522051388,0.7929218898321564,0,0
12,483,23,1273.147476420867,1.0,1.0,0,0
13,934,21,2519.6928319194863,1.0,1.0,0,0
14,55,0,165.00000001,1.0,1.0,0,0
15,161,2,473.754294048534,1.0,0.9618357680756396,0,0
16,299,3,849.9535029060796,1.0,1.0,0,0
17,1672,12,4130.515816356549,1.0,0.8468945868743928,0,0
18,653,0,1959.00000001,1.0,1.0,0,0
