episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,660,527,1462.4754264608428,1.0,0.9290178884046896,0,0
2,510,364,1129.6817412771836,1.0,0.7268244807827625,0,0
3,1235,929,2590.766731334532,1.0,0.9903758544834635,0,0
4,1032,702,2018.2164351985384,1.0,0.6658792367895086,0,0
5,288,150,683.9896666198831,1.0,0.7943753913048746,0,0
6,173,80,449.04037602758626,0.9956825171969338,1.0,0,0
7,348,107,859.9612645845625,0.9218620753135008,1.0,0,0
8,741,152,1676.4173565637743,1.0,0.7388770256164366,0,0
9,403,38,905.4669928233511,1.0,0.6559802886105447,0,0
10,71,4,212.93875899282426,1.0,0.9985547484695925,0,0
11,546,51,1434.5256160154422,1.0,1.0,0,0
12,254,3,760.9427097869722,1.0,1.0,0,0
13,496,13,1279.2384115512953,0.9736286508128004,0.9875468067059344,0,0
14,621,13,1669.130793566447,1.0,0.9191209064790534,0,0
15,845,3,2513.067783422726,1.0,1.0,0,0
16,1777,11,5258.666192394743,1.0,0.9561656207070512,0,0
17,174,1,478.23659877558595,1.0,1.0,0,0
18,127,0,381.00000001,1.0,1.0,0,0
19,28,0,84.00000001000001,1.0,1.0,0,0
