episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,81,44,106.09987323576875,0.4004847618497458,0.5389333609820535,0,0
2,19,12,24.55147514050628,0.4004847618497458,0.5025884891487118,0,0
3,100,53,177.35580354406258,0.4004847618497458,0.7342220512024512,0,0
4,100,56,202.3727566403802,0.4004847618497458,0.7342220512024512,0,0
5,100,56,212.76176512770394,0.4004847618497458,0.7342220512024512,0,0
6,51,24,61.00950690068642,0.4004847618497458,0.374271079602983,0,0
7,49,28,88.11879700876123,0.4004847618497458,0.6667304488656622,0,0
8,100,40,210.39523369158707,0.4004847618497458,0.7342220512024512,0,0
9,100,30,117.31163744713743,0.4004847618497458,0.2885866819675857,0,0
10,3,0,3.604362866647712,0.4004847618497458,0.47562857752693255,0,0
11,97,14,187.38826805114533,0.4004847618497458,0.7342220512024512,0,0
12,29,0,34.84217429092787,0.4004847618497458,0.40048476184974574,0,0
13,71,3,84.45566300238364,0.4004847618497458,0.293374094669908,0,0
14,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
15,100,7,136.03446923331126,0.4004847618497458,0.3547639112479443,0,0
16,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
