episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,108,91,281.7014177731294,1.0,0.9988195473934895,0,0
2,55,46,148.75693889098767,1.0,0.7653871636836621,0,0
3,68,55,174.3003861205792,1.0,0.7043527489300233,0,0
4,232,176,506.54818274768803,1.0,0.6966106777667609,0,0
5,144,121,342.70213276140254,1.0,0.5831099405916238,0,0
6,1359,1042,2917.5212387756233,1.0,0.6151248959677778,0,0
7,114,69,263.918191872673,1.0,0.8233189614019292,0,0
8,377,251,860.3287990977499,0.9157546530716051,0.8453752479889957,0,0
9,1751,1189,3793.67014891445,1.0,0.9301155259924648,0,0
10,197,41,499.5029477240406,1.0,0.8129990124977977,0,0
11,343,51,875.9898526944202,1.0,0.725202330889743,0,0
12,729,108,1716.4942547272924,0.92439040123885,0.44254520793383634,0,0
13,844,51,2093.054810942352,1.0,0.9257088297538102,0,0
14,1248,19,3267.705976596811,1.0,1.0,0,0
15,824,3,2430.3876432696115,1.0,0.8689185198913384,0,0
16,1173,9,2710.4623453826157,1.0,0.7584672959895278,0,0
17,434,0,1301.387455941149,1.0,1.0,0,0
18,10,0,30.00000001,1.0,1.0,0,0
