episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,1000,754,2141.7991167793525,0.4174978573081396,0.721000964167383,0,0
2,213,129,462.29372536044866,0.4174978573081396,0.765412725691713,0,0
3,787,412,1798.4736478321736,0.765412725691713,0.765412725691713,0,0
4,214,111,462.80227032052613,0.4174978573081396,0.765412725691713,0,0
5,207,120,460.0487304864543,0.765412725691713,0.6598905372145882,0,0
6,207,131,408.3694523236551,0.6598905372145882,0.6598905372145882,0,0
7,372,270,733.4865007534814,0.6598905372145882,0.6598905372145882,0,0
8,197,112,364.11068293121065,0.4174978573081396,0.765412725691713,0,0
9,803,454,1834.3300521204496,0.765412725691713,0.765412725691713,0,0
10,410,225,988.3214113049892,0.4174978573081396,0.8227675117017202,0,0
11,590,398,1447.9271670343792,0.8227675117017202,0.8227675117017202,0,0
12,623,468,1352.8948657386406,0.4174978573081396,0.7418675406328569,0,0
13,377,285,835.4539611124056,0.7418675406328569,0.7418675406328569,0,0
14,75,49,113.97398044235798,0.4174978573081396,0.6615715870939456,0,0
15,819,562,1856.5710981336586,0.5280829995361881,0.765412725691713,0,0
16,106,72,241.8868355600879,0.765412725691713,0.765412725691713,0,0
17,1000,688,2210.1437515419107,0.4174978573081396,0.765412725691713,0,0
18,107,65,173.80535909730864,0.4174978573081396,0.8214450798343653,0,0
19,207,157,506.81513678824297,0.8214450798343654,0.8214450798343653,0,0
20,452,360,1106.307472166015,0.8214450798343654,0.8214450798343653,0,0
21,234,185,572.7632505582078,0.8214450798343654,0.8214450798343653,0,0
22,335,233,683.9350563860343,0.4174978573081396,0.765412725691713,0,0
23,665,536,1515.724437572559,0.765412725691713,0.765412725691713,0,0
