episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,1566,1212,3324.7899545363766,1.0,0.6883585398863639,0,0
2,1131,841,2252.4978514505724,1.0,0.7190133201867337,0,0
3,335,213,719.3472606929379,1.0,0.7782224075490819,0,0
4,136,82,296.69925727045126,1.0,0.7059106505162485,0,0
5,61,32,161.7977585390035,1.0,0.8837979533414938,0,0
6,251,131,626.9182913682059,1.0,1.0,0,0
7,3004,1216,6611.3647821195045,1.0,0.8092267292668744,0,0
8,510,12,1342.486417001854,1.0,0.7178640062359178,0,0
9,112,0,336.00000001,1.0,1.0,0,0
10,999,11,2807.578316037224,1.0,0.9116687517465764,0,0
11,783,2,2279.469607852879,1.0,0.9104530838328738,0,0
12,383,0,1147.3854976649968,1.0,1.0,0,0
13,729,1,2186.309203777519,1.0,1.0,0,0
