episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,127,116,285.21436134396447,1.0,0.8046028441887744,0,25
2,670,603,211.09355599557728,1.0,1.0,0,623
3,159,158,178.16752237917572,1.0,0.9128292884294653,0,721
4,64,63,172.49074224511384,1.0,0.9698697419373248,0,723
5,365,365,259.82065586067597,1.0,0.7904618925783196,0,996
6,74,74,174.03108745533504,1.0,0.9537851780231374,0,1009
7,361,359,175.6872386931005,1.0,0.7925460786223447,0,1310
8,422,319,846.394141397944,1.0,0.8936234494926131,0,1407
9,859,349,1675.803593336485,1.0,0.6491208034711189,0,1610
10,190,40,569.5362159225335,1.0,1.0,0,1610
11,359,107,1001.1224056994589,1.0,0.8179478441771735,0,1610
12,637,88,1890.0681367320735,1.0,1.0,0,1610
13,1318,300,3524.7847411769008,1.0,0.9272418810589734,0,1610
14,497,66,1489.0627468855525,1.0,0.9907763505591836,0,1610
15,704,92,2104.2728364657373,1.0,1.0,0,1610
16,144,40,431.77744112041694,1.0,1.0,0,1610
