episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,63,38,79.34308220248143,0.4004847618497458,0.37848821332031185,0,0
2,37,23,49.47607995325266,0.4004847618497458,0.41763723190545593,0,0
3,100,64,160.0098516489791,0.4004847618497458,0.7342220512024512,0,0
4,100,46,168.27909218578478,0.4004847618497458,0.787971079160069,0,0
5,100,58,161.5003986027004,0.4004847618497458,0.7342220512024512,0,0
6,100,56,156.55401541337733,0.4004847618497458,0.5865104478099998,0,0
7,100,53,197.69553843808146,0.4004847618497458,0.7342220512024512,0,0
8,100,30,163.33877713741506,0.4004847618497458,0.7342220512024512,0,0
9,100,24,125.71138496957258,0.4004847618497458,0.4775435444040171,0,0
10,100,15,139.47879977860512,0.4004847618497458,0.5389333609820535,0,0
11,100,3,115.86893358235739,0.4004847618497458,0.2885866819675857,0,0
12,100,0,120.14542856492353,0.4004847618497458,0.40048476184974574,0,0
13,39,0,46.856717146420266,0.4004847618497458,0.40048476184974574,0,0
