episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,209,187,367.76628390572773,1.0,0.8959993531755375,0,74
2,139,134,208.4595039194817,1.0,0.9191392588183283,0,142
3,2232,2178,179.75542367112013,1.0,0.6991548021272512,0,2310
4,820,276,912.8704429812836,1.0,0.6421642325512724,0,2812
5,788,171,2218.94818493157,1.0,1.0,0,2816
6,124,1,371.97315506804347,1.0,1.0,0,2816
7,630,142,1734.5411485849188,1.0,0.8214685721061004,0,2816
8,442,56,1325.7192926841185,1.0,1.0,0,2816
9,82,1,245.97315506804347,1.0,1.0,0,2816
10,897,104,2655.1781258963383,1.0,1.0,0,2816
11,65,3,194.98087101025493,1.0,1.0,0,2816
