episode,steps,actions,episode_reward,start_util,end_util,slo_breach,budget_overrun
1,111,66,244.3684929974559,0.3864867607428753,0.8088700381313426,0,0
2,185,120,316.017330030346,0.3864867607428753,0.6752615735597415,0,0
3,125,56,227.27510791429506,0.3864867607428753,0.7085590495992177,0,0
4,54,26,90.34068451716247,0.3864867607428753,0.7085590495992177,0,0
5,690,327,1421.0579655871074,0.3864867607428753,0.7085590495992177,0,0
6,221,107,431.1294963916116,0.3864867607428753,0.7085590495992177,0,0
